country;group;week;zscore
Austria;Total;2018-52;0.99
Austria;Total;2019-01;0.56
Austria;Total;2019-02;1.48
Austria;Total;2019-03;0.25
Austria;Total;2019-04;1.32
Austria;Total;2019-05;1.79
Austria;Total;2019-06;2.59
Austria;Total;2019-07;3.07
Austria;Total;2019-08;2.22
Austria;Total;2019-09;2.51
Austria;Total;2019-10;3.53
Austria;Total;2019-11;3.16
Austria;Total;2019-12;0.93
Austria;Total;2019-13;1.68
Austria;Total;2019-14;1.07
Austria;Total;2019-15;0.45
Austria;Total;2019-16;1.01
Austria;Total;2019-17;0.19
Austria;Total;2019-18;-0.77
Austria;Total;2019-19;0.04
Austria;Total;2019-20;1.15
Austria;Total;2019-21;0.64
Austria;Total;2019-22;0.85
Austria;Total;2019-23;1.78
Austria;Total;2019-24;2.27
Austria;Total;2019-25;0.11
Austria;Total;2019-26;0.85
Austria;Total;2019-27;1.78
Austria;Total;2019-28;-1.29
Austria;Total;2019-29;0.24
Austria;Total;2019-30;2
Austria;Total;2019-31;0.33
Austria;Total;2019-32;-0.31
Austria;Total;2019-33;-0.63
Austria;Total;2019-34;0.26
Austria;Total;2019-35;0.78
Austria;Total;2019-36;-0.67
Austria;Total;2019-37;-0.96
Austria;Total;2019-38;-0.37
Austria;Total;2019-39;1.48
Austria;Total;2019-40;0.33
Austria;Total;2019-41;0.91
Austria;Total;2019-42;-0.69
Austria;Total;2019-43;-0.33
Austria;Total;2019-44;-0.75
Austria;Total;2019-45;-0.36
Austria;Total;2019-46;-0.59
Austria;Total;2019-47;-0.74
Austria;Total;2019-48;-0.46
Austria;Total;2019-49;-0.26
Austria;Total;2019-50;0.48
Austria;Total;2019-51;-0.67
Austria;Total;2019-52;-0.21
Austria;Total;2020-01;-0.48
Austria;Total;2020-02;0.73
Austria;Total;2020-03;2.28
Austria;Total;2020-04;1.94
Austria;Total;2020-05;4.04
Austria;Total;2020-06;1.34
Austria;Total;2020-07;3.69
Austria;Total;2020-08;1.32
Austria;Total;2020-09;2.21
Austria;Total;2020-10;2.25
Austria;Total;2020-11;2.04
Austria;Total;2020-12;3.68
Austria;Total;2020-13;2.76
Austria;Total;2020-14;4
Austria;Total;2020-15;3.73
Austria;Total;2020-16;2.44
Austria;Total;2020-17;0.88
Austria;Total;2020-18;-0.68
Austria;Total;2020-19;0.15
Austria;Total;2020-20;-0.03
Austria;Total;2020-21;-0.18
Austria;Total;2020-22;-1.03
Austria;Total;2020-23;0.26
Austria;Total;2020-24;-0.16
Austria;Total;2020-25;-0.98
Austria;Total;2020-26;-0.38
Austria;Total;2020-27;1.82
Austria;Total;2020-28;-1.08
Austria;Total;2020-29;0
Austria;Total;2020-30;-0.07
